tool_used,link,link,creation_date,Stars,Watchers,Forks,Releases,packages,Contributors,openIssues,closedIssues,OpenPullRequests,ClosedPullRequests,Commits,type
sbom-cli,https://github.com/opendevstack/ods-jenkins-shared-library,https://github.com/opendevstack/ods-jenkins-shared-library,2018-07-27T11:44:32Z,2,1,0,,0,2,0,0,0,0,109,SPDX
cyclonedx-go,https://github.com/openclarity/vmclarity,https://github.com/openclarity/vmclarity,2022-11-04T16:06:44Z,0,2,0,,0,,1,0,0,0,2,SPDX
tools-java,https://github.com/Open-Source-Compliance/package-analysis,https://github.com/Open-Source-Compliance/package-analysis,2022-03-02T09:01:20Z,33000,58,378,36,1,78,92,259,9,362,633,SPDX
cyclonedx-gomod,https://github.com/open-feature/go-sdk,https://github.com/open-feature/go-sdk,2022-04-28T21:00:52Z,8,3,7,6,1,3,4,16,0,17,84,SPDX
cyclonedx-gomod,https://github.com/open-feature/flagd,https://github.com/open-feature/flagd,2022-05-26T12:05:42Z,4,10,4,54,0,10,0,1,2,861,"1,211",SPDX
cyclonedx-python-lib,https://github.com/on-nix/pkgs,https://github.com/on-nix/pkgs,2021-10-18T06:23:33Z,0,1,2,2,,8,0,3,6,34,58,SPDX
sbom-tool,https://github.com/OKiMaureen/test,https://github.com/OKiMaureen/test,2019-03-21T13:39:25Z,66,7,7,,0,2,0,1,0,17,"1,005",SPDX
cyclonedx-go,https://github.com/ocurity/dracon,https://github.com/ocurity/dracon,2023-02-13T17:16:44Z,48000,124,1000,184,0,282,67,1209,50,5985,"8,333",SPDX
sbom-tool,https://github.com/octodemo/sbom-dependency-submission,https://github.com/octodemo/sbom-dependency-submission,2022-10-03T22:33:03Z,0,2,0,,0,,0,0,0,0,1,SPDX
bom,https://github.com/oasis-open/openc2-jadn-software,https://github.com/oasis-open/openc2-jadn-software,2017-08-28T18:45:52Z,1,2,0,,0,2,0,0,4,18,"26,882",SPDX
tools-golang,https://github.com/nydusaccelerator/buildkit,https://github.com/nydusaccelerator/buildkit,2023-01-05T03:50:05Z,9,6,9,,0,3,1,1,0,6,34,SPDX
bom,https://github.com/numaproj/numaflow,https://github.com/numaproj/numaflow,2022-05-20T22:05:07Z,15,9,10,8,0,22,36,49,3,57,506,SPDX
cyclonedx-gomod,https://github.com/nscuro/dtapac,https://github.com/nscuro/dtapac,2022-04-15T15:56:50Z,1,3,15,2,0,8,2,1,1,15,94,SPDX
sbom-cli-plugin,https://github.com/noironetworks/aci-containers,https://github.com/noironetworks/aci-containers,2016-09-01T20:40:29Z,58,5,170,,0,11,16,7,23,9,"1,216",SPDX
cyclonedx-node-npm,https://github.com/nodeshift/faas-js-runtime,https://github.com/nodeshift/faas-js-runtime,2019-10-16T03:01:12Z,0,1,0,2,0,,1,0,0,3,2,SPDX
spdx-maven-plugin,https://github.com/NodeSecure/licenses-conformance,https://github.com/NodeSecure/licenses-conformance,2021-08-30T20:47:45Z,47,10,50,,0,30,26,114,1,503,"3,333",SPDX
cyclonedx-python-lib,https://github.com/NixOS/nixpkgs,https://github.com/NixOS/nixpkgs,2012-06-04T02:49:46Z,0,1,0,,,3,4,19,7,173,666,SPDX
cyclonedx-python,https://github.com/nix-community/poetry2nix,https://github.com/nix-community/poetry2nix,2019-06-17T15:26:38Z,15,4,2,,0,3,10,1,3,9,40,SPDX
bom,https://github.com/nix-community/nur-combined,https://github.com/nix-community/nur-combined,2018-08-04T16:29:54Z,0,2,0,,0,,0,0,0,0,1,SPDX
sbom-cli,https://github.com/nicholasdille/container-slides,https://github.com/nicholasdille/container-slides,2019-11-17T12:38:41Z,0,1,0,,,,1,0,0,0,3,SPDX
bom,https://github.com/nexB/scancode.io,https://github.com/nexB/scancode.io,2020-09-10T15:06:52Z,0,2,1,,0,,0,0,0,0,2,SPDX
tools-python,https://github.com/nexB/scancode-toolkit,https://github.com/nexB/scancode-toolkit,2015-07-01T13:43:06Z,1,7,1,,0,5,12,0,2,4,201,SPDX
tools-python,https://github.com/nexB/python-inspector,https://github.com/nexB/python-inspector,2022-05-12T19:42:57Z,1,0,3,106,0,6,9,2,0,67,464,SPDX
build-info-go,https://github.com/neoclide/coc-json,https://github.com/neoclide/coc-json,2018-09-07T08:04:25Z,2,2,0,4,7,,0,2,0,21,45,SPDX
cyclonedx-python,https://github.com/NC3-LU/Fit4Cybersecurity,https://github.com/NC3-LU/Fit4Cybersecurity,2019-07-09T07:40:36Z,18000,69,504,68,,314,861,1412,18,1167,"10,739",SPDX
bom,https://github.com/MrWenBo/mescep,https://github.com/MrWenBo/mescep,2017-05-19T14:29:48Z,48,2,25,71,0,21,72,135,9,1839,"3,482",SPDX
build-info-go,https://github.com/mrtazz/dotfiles,https://github.com/mrtazz/dotfiles,2012-08-25T22:52:09Z,3,7,0,2,2,4,19,11,1,72,175,SPDX
cyclonedx-gomod,https://github.com/mostafa/xk6-kafka,https://github.com/mostafa/xk6-kafka,2020-05-09T13:13:04Z,0,0,0,,0,,0,0,0,0,15,SPDX
spdx-maven-plugin,https://github.com/moleske/geode-protobuf,https://github.com/moleske/geode-protobuf,2021-05-05T22:59:53Z,0,2,0,,0,4,0,0,0,0,144,SPDX
cyclonedx-node-npm,https://github.com/MO-Movia/licit,https://github.com/MO-Movia/licit,2020-09-19T22:57:43Z,5,1,2,,0,4,0,0,15,14,334,SPDX
tools-golang,https://github.com/mmogylenko/rules_deb_packages,https://github.com/mmogylenko/rules_deb_packages,2023-06-09T20:44:51Z,13,7,7,,,6,3,2,0,63,222,SPDX
sbom-tool,https://github.com/mluker/secure-supply-chain,https://github.com/mluker/secure-supply-chain,2023-02-24T16:29:47Z,413,32,157,104,0,82,52,65,16,3334,"9,917",SPDX
sbom-tool,https://github.com/mluker/artifact-signing,https://github.com/mluker/artifact-signing,2022-11-17T19:47:55Z,1,0,0,,0,,0,0,0,0,75,SPDX
cyclonedx-cli,https://github.com/mlieberman85/supply-chain-examples,https://github.com/mlieberman85/supply-chain-examples,2021-08-28T19:07:59Z,69,4,6,13,,4,3,14,0,8,120,SPDX
cyclonedx-maven-plugin,https://github.com/Mixeway/MixewayScanner,https://github.com/Mixeway/MixewayScanner,2020-08-18T11:13:35Z,102,22,41,,0,19,9,22,7,330,748,SPDX
bom,https://github.com/mil-oss/spdx-xsd,https://github.com/mil-oss/spdx-xsd,2018-05-30T03:35:15Z,0,1,2,,0,2,0,0,0,2,2,SPDX
bom,https://github.com/midokura/gha-devops,https://github.com/midokura/gha-devops,2022-04-12T08:38:19Z,31,1,1,,0,11,58,123,2,365,"1,219",SPDX
sbom-tool,https://github.com/microsoft/winget-pkgs,https://github.com/microsoft/winget-pkgs,2019-07-16T22:21:48Z,0,8,1,,0,4,16,11,0,30,130,SPDX
sbom-tool,https://github.com/microsoft/promptflow,https://github.com/microsoft/promptflow,2023-06-30T06:03:06Z,24,11,34,,0,26,121,329,6,886,664,SPDX
bom,https://github.com/Micronaet/micronaet-sql,https://github.com/Micronaet/micronaet-sql,2015-02-18T08:13:23Z,4,4,4,,3,3,1,4,1,41,286,SPDX
tools-golang,https://github.com/mchmarny/disco,https://github.com/mchmarny/disco,2022-12-23T13:18:03Z,0,1,0,,0,475,0,0,12,13,"22,855",SPDX
ort,https://github.com/maxhbr/myconfig,https://github.com/maxhbr/myconfig,2012-12-04T18:26:32Z,87,9,12,,0,2,2,6,0,5,"35,581",SPDX
ort,https://github.com/maxhbr/benchmark,https://github.com/maxhbr/benchmark,2017-05-20T15:42:08Z,72000,259,4000,33,0,1136,4131,1908,123,22474,"40,491",SPDX
spdx-sbomgenerator,https://github.com/MaibornWolff/OSSLR,https://github.com/MaibornWolff/OSSLR,2021-08-24T09:45:38Z,0,2,1,,0,2,0,0,0,1,29,SPDX
cyclonedx-python,https://github.com/madpah/vexy,https://github.com/madpah/vexy,2022-07-04T14:37:59Z,2,2,2,,0,2,0,17,0,4,"1,035",SPDX
bom,https://github.com/MadhavJivrajani/owners-counts,https://github.com/MadhavJivrajani/owners-counts,2023-03-20T16:23:57Z,234000,977,58000,,0,1969,13,3609,13,3609,"111,285",SPDX
cyclonedx-python,https://github.com/luismayta/dotfiles,https://github.com/luismayta/dotfiles,2014-11-17T11:24:08Z,3,3,44,,0,3,0,0,604,67,26,SPDX
ort,https://github.com/LoremLabs/kudos-for-code-action,https://github.com/LoremLabs/kudos-for-code-action,2023-03-14T14:20:52Z,165000,310,24000,250,,645,913,7319,187,19797,"25,670",SPDX
cyclonedx-php-composer,https://github.com/lockys/Awesome.json,https://github.com/lockys/Awesome.json,2015-10-05T16:11:59Z,0,2,0,,0,4,1,0,7,149,393,SPDX
tools-python,https://github.com/LLNL/Surfactant,https://github.com/LLNL/Surfactant,2023-06-27T18:03:31Z,2,2,0,,0,535,0,0,10,14,"24,635",SPDX
spdx-sbomgenerator,https://github.com/LLNL/llnl.github.io,https://github.com/LLNL/llnl.github.io,2016-01-10T22:04:39Z,57,6,47,,0,25,21,41,10,257,938,SPDX
cyclonedx-gomod,https://github.com/lkarlslund/Adalanche,https://github.com/lkarlslund/Adalanche,2020-10-07T10:07:22Z,103,27,87,25,4,45,345,732,18,939,"1,831",SPDX
ort,https://github.com/linagora/Lincompliance,https://github.com/linagora/Lincompliance,2022-01-26T15:32:32Z,0,1,0,,0,,0,0,0,0,97,SPDX
spdx-sbomgenerator,https://github.com/lfit/releng-global-jjb,https://github.com/lfit/releng-global-jjb,2017-06-27T16:32:33Z,21,2,3,1,0,5,8,3,2,2,42,SPDX
tools-golang,https://github.com/lf-edge/eve,https://github.com/lf-edge/eve,2019-04-19T04:01:17Z,2,1,0,,0,2,0,0,90,34,29,SPDX
bom,https://github.com/leoluz/go-experiments,https://github.com/leoluz/go-experiments,2015-02-23T16:22:40Z,5,9,1,,0,2,1,9,0,6,31,SPDX
cyclonedx-python,https://github.com/Lee-W/cookiecutter-python-template,https://github.com/Lee-W/cookiecutter-python-template,2018-06-12T03:16:39Z,4,1,1,,0,557,0,0,1,0,"145,892",SPDX
bom,https://github.com/LArkema/dctransistor-project,https://github.com/LArkema/dctransistor-project,2021-10-18T20:45:45Z,4,8,7,18,,10,2,9,0,79,192,SPDX
bom,https://github.com/l2x6/cq-maven-plugin,https://github.com/l2x6/cq-maven-plugin,2020-03-16T20:41:40Z,0,2,3,,0,12,10,8,3,26,357,SPDX
cyclonedx-gomod,https://github.com/kyverno/policy-reporter-ui,https://github.com/kyverno/policy-reporter-ui,2021-03-13T16:20:46Z,4,3,0,,0,3,0,0,0,43,90,SPDX
bom,https://github.com/kubewarden/github-actions,https://github.com/kubewarden/github-actions,2022-01-20T13:31:23Z,1,1,0,,0,3,0,1,0,1,29,SPDX
ko-build/ko,https://github.com/kubernetes/release,https://github.com/kubernetes/release,2016-03-23T22:11:59Z,37,8,9,4,0,8,6,22,0,16,153,SPDX
ko-build/ko,https://github.com/kubernetes/cloud-provider-gcp,https://github.com/kubernetes/cloud-provider-gcp,2018-03-21T07:01:09Z,0,1,0,,0,11,0,0,0,0,105,SPDX
bom,https://github.com/kubernetes-sigs/security-profiles-operator,https://github.com/kubernetes-sigs/security-profiles-operator,2020-04-24T09:37:15Z,3,5,0,,3,3,1,0,0,6,6,SPDX
ko-build/ko,https://github.com/kubernetes-sigs/release-utils,https://github.com/kubernetes-sigs/release-utils,2021-03-04T01:01:28Z,15,2,0,,0,2,0,0,7,67,36,CycloneDX
tools-java,https://github.com/kubernetes-sigs/bom,https://github.com/kubernetes-sigs/bom,2021-11-19T13:06:36Z,19,5,14,11,0,,0,3,5,2,10,CycloneDX
cyclonedx-go,https://github.com/ksoclabs/kbom,https://github.com/ksoclabs/kbom,2023-04-24T12:10:52Z,87,7,13,6,2,11,81,65,17,314,271,CycloneDX
sbom-tool,https://github.com/kolaczyn/typescript-template,https://github.com/kolaczyn/typescript-template,2022-08-27T08:24:40Z,22,1,4,21,0,5,0,12,0,158,506,CycloneDX
ko-build/ko,https://github.com/ko-build/terraform-provider-ko,https://github.com/ko-build/terraform-provider-ko,2022-06-24T17:35:35Z,42,4,19,,0,10,5,2,3,39,331,CycloneDX
cyclonedx-cli,https://github.com/ko-build/ko,https://github.com/ko-build/ko,2019-03-21T19:24:01Z,109,3,24,122,6,7,0,20,0,209,413,CycloneDX
ko-build/ko,https://github.com/knative-extensions/eventing-rabbitmq,https://github.com/knative-extensions/eventing-rabbitmq,2020-05-07T21:25:50Z,2000,40,186,14,,11,18,165,0,597,"3,573",CycloneDX
bom,https://github.com/kdoctor-io/kdoctor,https://github.com/kdoctor-io/kdoctor,2023-06-05T03:59:18Z,83,10,60,46,0,36,8,192,2,1035,902,CycloneDX
bom,https://github.com/kbob/LED-Cube,https://github.com/kbob/LED-Cube,2019-03-17T12:10:36Z,29,4,55,12,2,7,48,40,15,763,414,CycloneDX
cyclonedx-maven-plugin,https://github.com/jvm-repo-rebuild/reproducible-central,https://github.com/jvm-repo-rebuild/reproducible-central,2019-01-16T01:54:48Z,33,5,3,7,,,14,22,0,0,657,CycloneDX
cyclonedx-node-npm,https://github.com/juice-shop/juice-shop,https://github.com/juice-shop/juice-shop,2014-09-19T14:53:06Z,892,30,187,23,0,65,49,473,2,707,"1,101",CycloneDX
cyclonedx-gradle-plugin,https://github.com/jreleaser/jreleaser,https://github.com/jreleaser/jreleaser,2020-11-28T14:33:15Z,17,4,4,14,0,4,7,5,7,107,146,CycloneDX
tools-python,https://github.com/jotterson/sbom-validator,https://github.com/jotterson/sbom-validator,2021-09-17T17:11:47Z,210,5,10,22,4,11,57,66,1,236,223,CycloneDX
sbom-tool,https://github.com/johnterickson/cargo2junit,https://github.com/johnterickson/cargo2junit,2019-02-16T18:00:02Z,15000,14,192,137,129,98,48,641,12,2237,"2,575",CycloneDX
cyclonedx-python,https://github.com/john-sandall/python-productivity-powerups,https://github.com/john-sandall/python-productivity-powerups,2020-05-05T16:26:11Z,453000,663,295000,,,1,703,7221,207,56365,"84,804",CycloneDX
cyclonedx-node-npm,https://github.com/joeferner/redis-commander,https://github.com/joeferner/redis-commander,2012-06-18T14:30:04Z,14,3,6,,,5,20,66,1,150,572,CycloneDX
build-info-go,https://github.com/jfrog/jfrog-client-go,https://github.com/jfrog/jfrog-client-go,2018-06-17T15:46:41Z,45,76,76,,0,36,4,1631,4,1631,814,CycloneDX
build-info-go,https://github.com/jfrog/jfrog-cli-plugins,https://github.com/jfrog/jfrog-cli-plugins,2020-10-26T07:57:42Z,127000,299,118000,,,14,27,5199,93,140539,"406,640",CycloneDX
build-info-go,https://github.com/jfrog/jfrog-cli-core,https://github.com/jfrog/jfrog-cli-core,2020-09-08T10:56:52Z,272,26,47,4,,11,69,126,8,97,627,CycloneDX
build-info-go,https://github.com/jfrog/jfrog-cli,https://github.com/jfrog/jfrog-cli,2015-08-18T20:49:18Z,87000,151,78000,202,,110,9,761,0,1318,"19,304",CycloneDX
cyclonedx-go,https://github.com/jetstack/tally,https://github.com/jetstack/tally,2022-09-07T09:00:43Z,26,3,16,,0,,0,0,0,0,164,CycloneDX
spdx-maven-plugin,https://github.com/JetBrains/kotlin,https://github.com/JetBrains/kotlin,2012-02-13T17:29:58Z,19,1,2,,0,2,4,0,1,13,48,CycloneDX
tools-golang,https://github.com/jasona7/ChatCVE,https://github.com/jasona7/ChatCVE,2023-05-25T14:16:44Z,454,10,27,19,0,3,0,6,0,315,"1,030",CycloneDX
swift-package-sbom,https://github.com/istio/release-builder,https://github.com/istio/release-builder,2019-08-19T22:52:41Z,19,11,21,17,0,11,1,4,1,80,229,CycloneDX
cyclonedx-gomod,https://github.com/interlynk-io/sbomqs,https://github.com/interlynk-io/sbomqs,2023-01-31T22:59:22Z,229,16,121,164,0,69,61,33,9,729,"1,374",CycloneDX
cyclonedx-go,https://github.com/interlynk-io/sbomasm,https://github.com/interlynk-io/sbomasm,2023-05-03T22:09:00Z,26,9,8,9,0,10,7,27,2,34,192,CycloneDX
sbom-cli,https://github.com/intelops/kubviz,https://github.com/intelops/kubviz,2021-12-19T06:21:54Z,27,4,13,,0,4,2,7,5,14,9,CycloneDX
tools-golang,https://github.com/in-toto/in-toto-golang,https://github.com/in-toto/in-toto-golang,2018-10-15T15:18:06Z,27,3,2,3,0,63,0,0,0,23,"11,676",CycloneDX
cyclonedx-node-npm,https://github.com/hyperledger/fabric-gateway,https://github.com/hyperledger/fabric-gateway,2020-09-15T09:49:35Z,115,9,82,13,1,15,17,133,2,444,465,CycloneDX
cyclonedx-python,https://github.com/HumbleData/beginners-data-workshop,https://github.com/HumbleData/beginners-data-workshop,2020-05-08T09:52:21Z,93,10,4,12,0,7,0,0,7,101,368,CycloneDX
cyclonedx-python,https://github.com/huggingface/datasets-server,https://github.com/huggingface/datasets-server,2021-07-26T09:00:53Z,65000,70,445,107,1,71,209,439,11,844,"1,036",CycloneDX
cyclonedx-gomod,https://github.com/Homebrew/homebrew-core,https://github.com/Homebrew/homebrew-core,2016-03-01T06:58:36Z,23,2,11,18,0,7,8,4,1,89,193,CycloneDX
bom,https://github.com/hivelocity/cluster-api-provider-hivelocity,https://github.com/hivelocity/cluster-api-provider-hivelocity,2022-10-21T14:25:15Z,25000,34,14000,,0,1183,51,400,12,2789,"3,072",CycloneDX
bom,https://github.com/helm/chartmuseum,https://github.com/helm/chartmuseum,2017-09-19T05:48:21Z,111,5,10,,0,,1,3,0,0,67,CycloneDX
ko-build/ko,https://github.com/gythialy/golang-cross,https://github.com/gythialy/golang-cross,2019-08-22T02:13:33Z,22,35,42,5,0,27,2,7,0,66,165,CycloneDX
cyclonedx-python-lib,https://github.com/guacsec/guac,https://github.com/guacsec/guac,2022-06-10T17:28:07Z,14,2,2,,,,0,0,0,0,"1,032",CycloneDX
cyclonedx-python,https://github.com/gromgit/homebrew-core-mojave,https://github.com/gromgit/homebrew-core-mojave,2021-11-16T10:03:08Z,13,1,1,4,0,2,1,6,5,84,186,CycloneDX
cyclonedx-gradle-plugin,https://github.com/groboclown/p4ic4idea,https://github.com/groboclown/p4ic4idea,2015-02-03T18:51:06Z,2000,18,120,5,1,58,60,134,22,309,"3,814",CycloneDX
sbom-tool,https://github.com/greenbone/actions,https://github.com/greenbone/actions,2021-05-22T15:42:03Z,129,28,105,,0,8,4,115,0,47,"26,176",CycloneDX
ko-build/ko,https://github.com/GoogleContainerTools/skaffold,https://github.com/GoogleContainerTools/skaffold,2018-01-23T18:51:29Z,333,33,277,262,0,29,29,229,7,313,594,CycloneDX
tools-golang,https://github.com/GoogleContainerTools/distroless,https://github.com/GoogleContainerTools/distroless,2017-04-18T22:02:38Z,18,5,5,2,0,5,1,9,0,287,404,CycloneDX
cyclonedx-go,https://github.com/google/osv-scanner,https://github.com/google/osv-scanner,2022-11-14T01:05:20Z,27,6,5,5,4,18,43,113,0,670,"1,237",CycloneDX
tools-java,https://github.com/goneall/spdx-model-to-java,https://github.com/goneall/spdx-model-to-java,2023-07-09T00:34:24Z,28,5,11,,0,700,0,38,0,38,"1,199,202",CycloneDX
sbom-tool,https://github.com/gon1942/how2github,https://github.com/gon1942/how2github,2023-09-17T13:51:33Z,252,19,76,2,,39,20,488,2,872,775,CycloneDX
sbom-tool,https://github.com/gon1942/git_command,https://github.com/gon1942/git_command,2018-07-04T08:05:08Z,366,14,40,15,,6,0,12,0,12,"3,124",CycloneDX
tools-golang,https://github.com/gnoliyil/fuchsia,https://github.com/gnoliyil/fuchsia,2022-01-08T16:09:33Z,46,14,31,,0,18,18,13,8,141,598,CycloneDX
bom,https://github.com/gitlabhq/gitlabhq,https://github.com/gitlabhq/gitlabhq,2011-10-02T16:25:27Z,103000,329,11000,98,0,119,62,492,20,1174,"1,377",CycloneDX
cyclonedx-python-lib,https://github.com/ghostbsd/ghostbsd-ports,https://github.com/ghostbsd/ghostbsd-ports,2019-08-22T16:53:53Z,33000,125,881,,0,26,68,42,68,42,"83,819",CycloneDX
cyclonedx-gomod,https://github.com/gatewayd-io/gatewayd,https://github.com/gatewayd-io/gatewayd,2022-07-14T18:54:38Z,88,7,10,110,,21,22,383,2,827,844,CycloneDX
cyclonedx-maven-plugin,https://github.com/G3G4X5X6/ultimate-cube,https://github.com/G3G4X5X6/ultimate-cube,2021-08-24T01:35:03Z,51,22,43,,0,657,1,85,1,85,"634,668",CycloneDX
cyclonedx-go,https://github.com/future-architect/vuls,https://github.com/future-architect/vuls,2016-03-27T02:29:09Z,35,4,33,,0,2,0,0,0,2,45,CycloneDX
tools-golang,https://github.com/fullsushidev/qmstr-1,https://github.com/fullsushidev/qmstr-1,2020-12-09T15:40:11Z,53000,59,283,13,1,42,61,92,9,381,337,CycloneDX
cyclonedx-python,https://github.com/FrodeHus/ludvig,https://github.com/FrodeHus/ludvig,2022-12-28T20:10:54Z,155,15,59,50,,30,26,101,19,430,538,CycloneDX
cyclonedx-python-lib,https://github.com/freebsd/freebsd-ports-kde,https://github.com/freebsd/freebsd-ports-kde,2017-05-21T10:48:44Z,61,10,19,16,,18,3,60,6,157,188,CycloneDX
cyclonedx-python-lib,https://github.com/freebsd/freebsd-ports,https://github.com/freebsd/freebsd-ports,2011-05-26T11:15:35Z,21,3,16,32,1,5,1,15,0,10,218,CycloneDX
ort,https://github.com/frazrepo/vimrc,https://github.com/frazrepo/vimrc,2019-01-09T15:26:04Z,24,32,27,,0,26,1,304,1,304,"1,616",CycloneDX
cyclonedx-python-lib,https://github.com/FraunhoferISST/diva,https://github.com/FraunhoferISST/diva,2021-06-30T11:14:23Z,17,3,3,3859,0,,3,6,0,0,"24,999",CycloneDX
tools-java,https://github.com/fossology/fossology,https://github.com/fossology/fossology,2014-01-13T11:22:57Z,26,5,32,2,0,10,5,6,7,51,124,CycloneDX
cyclonedx-python,https://github.com/fla-sil/PyTorrent,https://github.com/fla-sil/PyTorrent,2021-01-10T20:30:30Z,179,54,153,286,0,25,25,169,5,347,595,CycloneDX
tools-golang,https://github.com/Exynos-AOSP-Master/android_build,https://github.com/Exynos-AOSP-Master/android_build,2023-07-24T17:55:29Z,794,58,321,79,0,107,160,1710,3,2892,"5,920",CycloneDX
bom,https://github.com/evhart/counsel,https://github.com/evhart/counsel,2023-03-16T21:40:46Z,205,9,51,44,,11,79,48,21,196,392,CycloneDX
bom,https://github.com/evereux/pycatia,https://github.com/evereux/pycatia,2018-11-25T20:04:31Z,741,40,569,328,,182,20,917,34,3624,"4,652",CycloneDX
bom,https://github.com/espv/beam-plus-wrapper,https://github.com/espv/beam-plus-wrapper,2020-06-05T09:31:48Z,132,11,69,34,0,31,61,85,28,588,857,CycloneDX
bom,https://github.com/ep-infosec/36_linkedin_beam,https://github.com/ep-infosec/36_linkedin_beam,2022-12-12T14:33:44Z,107000,147,19000,170,0,404,158,2942,50,3013,"8,047",CycloneDX
bom,https://github.com/ep-infosec/33_apache_beam,https://github.com/ep-infosec/33_apache_beam,2022-12-11T01:16:12Z,221,30,63,13,0,31,38,60,19,597,"14,797",CycloneDX
sbom-tool,https://github.com/Enchoseon/2based2wait,https://github.com/Enchoseon/2based2wait,2022-02-05T04:30:46Z,144,14,78,97,0,18,1,113,5,121,226,CycloneDX
cyclonedx-gomod,https://github.com/elastic/harp,https://github.com/elastic/harp,2020-11-25T10:11:02Z,16,12,10,90,0,21,5,334,20,907,"5,077",CycloneDX
tools-golang,https://github.com/elastic/cloudbeat,https://github.com/elastic/cloudbeat,2022-02-14T10:43:26Z,276,8,31,43,0,15,1,8,11,477,"1,906",CycloneDX
sbom-tool,https://github.com/Ed-Fi-Exchange-OSS/Meadowlark,https://github.com/Ed-Fi-Exchange-OSS/Meadowlark,2021-12-07T20:39:20Z,33,2,21,,0,4,0,1,0,13,63,CycloneDX
sbom-tool,https://github.com/Ed-Fi-Alliance-OSS/Ed-Fi-ODS-AdminApp,https://github.com/Ed-Fi-Alliance-OSS/Ed-Fi-ODS-AdminApp,2020-05-05T17:37:29Z,87,3,13,12,1,7,22,19,8,70,195,CycloneDX
