tool_used,link,link,creation_date,Stars,Watchers,Forks,Releases,packages,Contributors,openIssues,closedIssues,OpenPullRequests,ClosedPullRequests,Commits,type
sbom-tool,https://github.com/Ed-Fi-Alliance-OSS/Ed-Fi-DataImport,https://github.com/Ed-Fi-Alliance-OSS/Ed-Fi-DataImport,2022-10-10T19:05:06Z,14,11,16,32,0,14,3,34,9,276,268,CycloneDX
tools-java,https://github.com/eclipse-sw360/sw360.website.published,https://github.com/eclipse-sw360/sw360.website.published,2022-10-05T20:24:17Z,17,11,7,6,,9,11,20,5,67,"1,274",CycloneDX
spdx-maven-plugin,https://github.com/eclipse-sw360/sw360,https://github.com/eclipse-sw360/sw360,2018-04-16T15:54:19Z,95,10,38,38,,17,17,33,2,182,836,CycloneDX
ort,https://github.com/eclipse-leda/leda-utils,https://github.com/eclipse-leda/leda-utils,2022-06-13T15:22:48Z,20,31,16,6,,6,1,8,1,10,55,CycloneDX
ort,https://github.com/eclipse-leda/leda,https://github.com/eclipse-leda/leda,2022-06-07T13:13:35Z,14,7,3,,0,3,7,0,0,4,63,CycloneDX
sbom-tool,https://github.com/echapmanFromBunnings/medium-sbom,https://github.com/echapmanFromBunnings/medium-sbom,2022-08-13T21:50:08Z,24,3,13,70,5,12,16,20,15,197,575,CycloneDX
cyclonedx-go,https://github.com/eBay/sbom-scorecard,https://github.com/eBay/sbom-scorecard,2022-11-03T22:58:57Z,63,1,55,395,0,49,29,543,59,15105,"18,212",CycloneDX
tools-golang,https://github.com/earthly/buildkit,https://github.com/earthly/buildkit,2023-04-20T19:09:48Z,96,9,31,,0,7,0,3,0,1051,"2,403",CycloneDX
cyclonedx-cli,https://github.com/e-m-b-a/emba,https://github.com/e-m-b-a/emba,2020-08-25T07:59:12Z,258,45,210,25,0,18,73,33,2,249,"1,263",CycloneDX
ko-build/ko,https://github.com/duzyn/scoop-cn,https://github.com/duzyn/scoop-cn,2020-06-20T01:59:09Z,303,9,90,238,4,21,127,214,1,206,953,CycloneDX
cyclonedx-cli,https://github.com/duosecurity/duo_universal_python,https://github.com/duosecurity/duo_universal_python,2020-10-16T00:45:23Z,267,23,45,11,,,22,126,0,15,"1,760",CycloneDX
cyclonedx-cli,https://github.com/duosecurity/duo_client_python,https://github.com/duosecurity/duo_client_python,2012-11-27T15:49:33Z,822,14,96,28,,64,69,927,5,227,"2,136",CycloneDX
cyclonedx-maven-plugin,https://github.com/duosecurity/duo_client_java,https://github.com/duosecurity/duo_client_java,2012-12-12T20:36:14Z,19,3,2,,0,,0,1,0,6,73,CycloneDX
cyclonedx-python,https://github.com/duo-labs/narrow,https://github.com/duo-labs/narrow,2022-12-13T13:53:51Z,609,18,542,,0,180,20,261,13,891,"1,058",CycloneDX
sbom-tool,https://github.com/ds2/docker-templates,https://github.com/ds2/docker-templates,2019-02-28T13:14:28Z,14,9,19,,5,14,25,111,2,444,"1,138",CycloneDX
sbom-tool,https://github.com/dpvreony/whipstaff,https://github.com/dpvreony/whipstaff,2017-09-19T20:05:12Z,873,116,671,,0,718,20,158,20,158,"634,762",CycloneDX
ort,https://github.com/DoktorLenz/anmelde-tool,https://github.com/DoktorLenz/anmelde-tool,2023-03-10T15:42:08Z,24,10,12,18,0,19,6,24,2,225,301,CycloneDX
bom,https://github.com/dokc/operator-feature-matrix,https://github.com/dokc/operator-feature-matrix,2023-01-27T00:07:35Z,28,5,4,,0,,1,2,0,9,889,CycloneDX
tools-golang,https://github.com/docker/go-imageinspect,https://github.com/docker/go-imageinspect,2022-07-28T03:02:28Z,57,6,15,4,0,3,0,1,0,1,109,CycloneDX
ort,https://github.com/dmitmel/dotfiles,https://github.com/dmitmel/dotfiles,2018-01-13T11:10:25Z,12,6,17,,0,134,2,0,2,0,"8,335",CycloneDX
bom,https://github.com/dims/k8s-code.appspot.com,https://github.com/dims/k8s-code.appspot.com,2018-04-10T13:18:34Z,216,3,21,15,0,13,4,10,5,103,"1,106",CycloneDX
sbom-tool,https://github.com/digitaltwinconsortium/DTDLParser,https://github.com/digitaltwinconsortium/DTDLParser,2022-08-06T14:39:37Z,835,23,59,53,,25,50,200,3,426,525,CycloneDX
bom,https://github.com/dhercher/beam-old,https://github.com/dhercher/beam-old,2020-10-09T01:14:56Z,15,3,2,9,,3,0,19,0,19,746,CycloneDX
cyclonedx-gomod,https://github.com/devops-kung-fu/lucha,https://github.com/devops-kung-fu/lucha,2021-06-01T16:10:49Z,36,7,6,,0,2,3,0,0,4,64,CycloneDX
cyclonedx-gomod,https://github.com/devops-kung-fu/hookz,https://github.com/devops-kung-fu/hookz,2021-03-03T18:59:10Z,143,8,36,16,1,18,42,81,3,52,601,CycloneDX
cyclonedx-go,https://github.com/devops-kung-fu/bomber,https://github.com/devops-kung-fu/bomber,2022-07-08T15:05:44Z,71,0,5,1,,,8,5,0,0,76,CycloneDX
cyclonedx-cli,https://github.com/devcontainers-contrib/features,https://github.com/devcontainers-contrib/features,2022-10-15T09:45:18Z,23000,488,11000,162,0,457,545,790,456,17783,"15,033",CycloneDX
cyclonedx-go,https://github.com/DependencyTrack/hyades,https://github.com/DependencyTrack/hyades,2022-09-30T08:44:20Z,34000,67,450,,1,88,36,273,6,226,"1,038",CycloneDX
cyclonedx-node-npm,https://github.com/DependencyTrack/frontend,https://github.com/DependencyTrack/frontend,2019-10-23T19:50:03Z,47000,57,435,151,1,120,256,573,21,1311,"1,625",CycloneDX
cyclonedx-cli,https://github.com/DependencyTrack/dependency-track,https://github.com/DependencyTrack/dependency-track,2013-07-16T19:16:43Z,130,16,25,193,0,18,4,85,6,216,445,CycloneDX
tools-golang,https://github.com/deislabs/ratify,https://github.com/deislabs/ratify,2021-08-13T16:17:52Z,191,7,11,9,0,7,2,1,4,78,147,CycloneDX
cyclonedx-php-composer,https://github.com/DefinitelyTyped/DefinitelyTyped,https://github.com/DefinitelyTyped/DefinitelyTyped,2012-10-05T16:39:45Z,12,3,2,5,,2,4,5,1,6,71,CycloneDX
cyclonedx-python-lib,https://github.com/DefectDojo/django-DefectDojo,https://github.com/DefectDojo/django-DefectDojo,2015-02-19T17:53:47Z,35,11,11,32,0,18,18,13,6,169,"1,314",CycloneDX
cyclonedx-php-composer,https://github.com/DataDog/datadog-ci,https://github.com/DataDog/datadog-ci,2019-06-26T15:15:17Z,87,12,6,17,0,8,0,1,10,102,376,CycloneDX
cyclonedx-go,https://github.com/DataDog/datadog-agent,https://github.com/DataDog/datadog-agent,2016-01-19T17:40:41Z,74,13,12,7,,6,11,7,2,24,114,CycloneDX
cyclonedx-gomod,https://github.com/dadrus/heimdall,https://github.com/dadrus/heimdall,2022-04-12T08:54:37Z,661,11,58,11,,15,16,27,0,60,60,CycloneDX
cyclonedx-maven-plugin,https://github.com/cycodehq-public/cycode-cli,https://github.com/cycodehq-public/cycode-cli,2022-07-04T16:39:28Z,454,87,508,23,0,175,71,552,7,2654,"5,706",CycloneDX
cyclonedx-node-module,https://github.com/CycloneDX/specification,https://github.com/CycloneDX/specification,2017-05-29T02:22:06Z,354,5,28,15,,11,14,63,7,89,60,CycloneDX
cyclonedx-dotnet-library,https://github.com/CycloneDX/cyclonedx-web-tool,https://github.com/CycloneDX/cyclonedx-web-tool,2021-05-21T12:46:14Z,77,9,35,,,20,9,85,5,1174,645,CycloneDX
cyclonedx-python-lib,https://github.com/CycloneDX/cyclonedx-python,https://github.com/CycloneDX/cyclonedx-python,2018-11-15T05:53:33Z,33,11,5,,,3,1,25,0,3,387,CycloneDX
cyclonedx-node-npm,https://github.com/CycloneDX/cyclonedx-node-module,https://github.com/CycloneDX/cyclonedx-node-module,2017-06-04T04:34:48Z,14,7,7,6,0,9,1,44,3,43,85,CycloneDX
cyclonedx-gomod,https://github.com/CycloneDX/cyclonedx-go,https://github.com/CycloneDX/cyclonedx-go,2021-03-02T11:20:02Z,534,15,92,14,16,39,117,318,9,940,"1,746",CycloneDX
cyclonedx-dotnet-library,https://github.com/CycloneDX/cyclonedx-dotnet,https://github.com/CycloneDX/cyclonedx-dotnet,2018-10-02T21:58:30Z,1000,44,126,5,1,44,102,208,15,994,962,CycloneDX
bom,https://github.com/CycloneDX/cyclonedx-core-java,https://github.com/CycloneDX/cyclonedx-core-java,2018-05-30T22:50:46Z,179,8,22,7,1,6,3,20,2,19,116,CycloneDX
cyclonedx-dotnet-library,https://github.com/CycloneDX/cyclonedx-cli,https://github.com/CycloneDX/cyclonedx-cli,2020-10-22T11:25:26Z,29,30,46,182,0,56,20,9,17,926,"2,198",CycloneDX
cyclonedx-maven-plugin,https://github.com/CycloneDX/cdxgen,https://github.com/CycloneDX/cdxgen,2019-12-30T13:55:18Z,145,5,18,23,,5,2,26,0,14,720,CycloneDX
cyclonedx-php-composer,https://github.com/CycloneDX/bom-examples,https://github.com/CycloneDX/bom-examples,2020-07-31T19:03:34Z,12,2,1,2,0,,1,0,11,35,55,CycloneDX
bom,https://github.com/cuiyeshuai/cilium,https://github.com/cuiyeshuai/cilium,2023-05-11T14:47:15Z,54,6,12,60,,14,6,31,1,124,169,CycloneDX
bom,https://github.com/cri-o/cri-o,https://github.com/cri-o/cri-o,2016-09-09T19:56:31Z,19000,69,454,47,,92,584,961,18,959,"3,992",CycloneDX
bom,https://github.com/cpanato/kubepug-installer,https://github.com/cpanato/kubepug-installer,2021-11-05T15:40:33Z,72,5,4,18,,7,33,164,5,734,"1,489",CycloneDX
cyclonedx-editor-validator,https://github.com/coshx/caravel,https://github.com/coshx/caravel,2015-05-28T19:20:24Z,67,4,9,1,0,6,2,5,0,29,183,CycloneDX
bom,https://github.com/containerbuildsystem/atomic-reactor,https://github.com/containerbuildsystem/atomic-reactor,2014-10-21T14:45:11Z,37,4,11,1,0,3,1,5,0,6,628,CycloneDX
build-info-go,https://github.com/conan-io/conan-extensions,https://github.com/conan-io/conan-extensions,2023-02-24T14:51:01Z,36,4,4,,0,2,1,13,0,6,50,CycloneDX
sbom-tool,https://github.com/cognitedata/opcua-extractor-net,https://github.com/cognitedata/opcua-extractor-net,2019-07-01T12:47:26Z,74,4,1,11,0,3,3,37,4,82,210,CycloneDX
ko-build/ko,https://github.com/codepraxis-io/docker-deep-dive,https://github.com/codepraxis-io/docker-deep-dive,2022-08-25T21:05:50Z,142000,192,16000,170,8,401,676,3293,14,5102,"8,787",CycloneDX
ko-build/ko,https://github.com/cncf/velocity,https://github.com/cncf/velocity,2017-04-26T14:07:13Z,15,18,0,5,2,2,7,12,7,78,150,CycloneDX
ko-build/ko,https://github.com/cncf/devstats,https://github.com/cncf/devstats,2023-03-30T07:49:21Z,120,11,49,,0,5,9,7,1,24,116,CycloneDX
ko-build/ko,https://github.com/cncf/clomonitor,https://github.com/cncf/clomonitor,2022-01-14T17:06:04Z,430,69,538,,0,671,31,1266,31,1266,"1,236,322",CycloneDX
bom,https://github.com/cilium/proxy,https://github.com/cilium/proxy,2018-10-29T23:24:15Z,68,3,28,,,22,17,41,1,70,"3,850",CycloneDX
bom,https://github.com/cilium/cilium,https://github.com/cilium/cilium,2015-12-16T12:33:31Z,222,8,20,,0,13,1,51,0,21,123,CycloneDX
tools-java,https://github.com/chris-toenjes-deye/salus-spdx-to-osv,https://github.com/chris-toenjes-deye/salus-spdx-to-osv,2022-08-10T12:58:33Z,18,10,10,,0,9,11,10,4,45,108,CycloneDX
bom,https://github.com/chintal/tendril,https://github.com/chintal/tendril,2015-07-28T20:38:43Z,30,6,1,,0,2,18,0,0,0,"1,621",CycloneDX
bom,https://github.com/chaos-mesh/chaos-mesh,https://github.com/chaos-mesh/chaos-mesh,2019-09-04T02:29:38Z,47,2,17,,0,13,7,54,5,325,216,CycloneDX
spdx-sbomgenerator,https://github.com/chamilad/kibana-prometheus-exporter,https://github.com/chamilad/kibana-prometheus-exporter,2020-03-08T08:38:38Z,567,8,290,75,0,202,122,243,14,935,"2,358",CycloneDX
cyclonedx-go,https://github.com/chainloop-dev/chainloop,https://github.com/chainloop-dev/chainloop,2023-03-06T14:30:50Z,148,27,50,,0,7,2,13,0,14,"1,023",CycloneDX
gh-sbom,https://github.com/chainguard-dev/osquery-defense-kit,https://github.com/chainguard-dev/osquery-defense-kit,2022-08-31T18:33:46Z,102,2,3,,,5,1,3,0,1,79,CycloneDX
bom,https://github.com/chainguard-dev/melange,https://github.com/chainguard-dev/melange,2022-03-07T19:53:27Z,52,3,0,61,1,,60,110,1,155,"1,132",CycloneDX
cyclonedx-gomod,https://github.com/chainguard-dev/bom-shelter,https://github.com/chainguard-dev/bom-shelter,2022-02-15T20:01:14Z,21,6,10,,0,7,1,0,2,26,35,CycloneDX
tools-java,https://github.com/chainguard-dev/actions,https://github.com/chainguard-dev/actions,2022-02-21T17:03:15Z,12000,33,800,,,678,36,2426,13,2581,"43,522",CycloneDX
bom,https://github.com/CERTCC/SBOM,https://github.com/CERTCC/SBOM,2020-06-01T17:08:22Z,18,5,15,,0,7,6,7,0,19,98,CycloneDX
ko-build/ko,https://github.com/cert-manager/cert-manager,https://github.com/cert-manager/cert-manager,2017-05-24T16:25:59Z,59,8,18,5,6,21,73,48,8,581,509,CycloneDX
cyclonedx-python,https://github.com/cedricbonhomme/pyEnigma,https://github.com/cedricbonhomme/pyEnigma,2017-03-15T09:05:15Z,16,6,13,4,0,3,5,3,0,4,49,CycloneDX
cyclonedx-python,https://github.com/cedricbonhomme/newspipe,https://github.com/cedricbonhomme/newspipe,2013-12-02T20:24:52Z,87,22,39,14,,14,0,0,2,161,159,CycloneDX
cyclonedx-python,https://github.com/cedricbonhomme/freshermeat,https://github.com/cedricbonhomme/freshermeat,2017-10-01T21:07:36Z,24,2,2,,0,4,3,225,1,258,"1,350",CycloneDX
cyclonedx-python,https://github.com/carstencodes/pdm-bump,https://github.com/carstencodes/pdm-bump,2021-09-11T19:27:18Z,85,27,120,121,0,40,18,273,18,273,488,CycloneDX
cyclonedx-go,https://github.com/carbonetes/jacked,https://github.com/carbonetes/jacked,2023-01-06T13:56:49Z,425,8,33,54,0,22,10,65,1,238,271,CycloneDX
cyclonedx-go,https://github.com/carbonetes/diggity,https://github.com/carbonetes/diggity,2023-01-06T13:55:57Z,187000,163,19000,126,1,333,157,2055,27,2184,"2,364",CycloneDX
cyclonedx-go,https://github.com/buildpacks/libcnb,https://github.com/buildpacks/libcnb,2020-02-25T20:02:59Z,22,4,8,,0,8,0,2,9,76,178,CycloneDX
ko-build/ko,https://github.com/buildkite/agent-stack-k8s,https://github.com/buildkite/agent-stack-k8s,2022-09-30T15:29:28Z,118,8,20,,0,2,0,3,0,1,26,CycloneDX
cyclonedx-python-lib,https://github.com/bridgecrewio/checkov,https://github.com/bridgecrewio/checkov,2019-11-27T08:55:14Z,132000,270,106000,,,5000+,6973,25693,4589,219059,"529,360",CycloneDX
protobom,https://github.com/bom-squad/sbom-convert,https://github.com/bom-squad/sbom-convert,2023-07-06T21:27:27Z,149,1,81,,452,34,29,120,9,357,688,CycloneDX
cyclonedx-go,https://github.com/bom-squad/protobom,https://github.com/bom-squad/protobom,2023-06-04T20:11:52Z,63,11,103,15,,39,98,90,41,371,"1,338",CycloneDX
cyclonedx-python,https://github.com/bmwiedemann/openSUSE,https://github.com/bmwiedemann/openSUSE,2019-09-11T14:31:22Z,31,8,11,101,0,2,35,189,0,10,647,CycloneDX
bom,https://github.com/bespoke-silicon-group/bsg_motherboards,https://github.com/bespoke-silicon-group/bsg_motherboards,2020-06-19T23:18:56Z,890,152,284,13,,6,7,22,0,48,307,CycloneDX
spdx-sbomgenerator,https://github.com/Be-Secure/BeSLab,https://github.com/Be-Secure/BeSLab,2023-05-04T07:12:45Z,500,10,93,,0,64,64,462,58,5347,"10,865",CycloneDX
spdx-sbomgenerator,https://github.com/Be-Secure/besecure-ce-env-repo,https://github.com/Be-Secure/besecure-ce-env-repo,2021-03-17T06:53:45Z,122,41,114,15,0,58,9,48,9,165,406,CycloneDX
spdx-sbomgenerator,https://github.com/Be-Secure/ansible-role-oah-sbomGenerator,https://github.com/Be-Secure/ansible-role-oah-sbomGenerator,2022-09-08T15:52:46Z,22,3,1,5,1,3,3,5,4,15,32,CycloneDX
spdx-sbomgenerator,https://github.com/Be-Secure/ansible-role-oah-beslab,https://github.com/Be-Secure/ansible-role-oah-beslab,2023-08-08T05:53:57Z,86,27,172,,0,157,16,66,14,513,"1,696",CycloneDX
spdx-maven-plugin,https://github.com/BabelZilla/WTS,https://github.com/BabelZilla/WTS,2014-06-11T21:02:38Z,12000,54,167,10,,17,25,79,4,241,277,CycloneDX
tools-golang,https://github.com/Azure/obom,https://github.com/Azure/obom,2023-07-14T19:06:54Z,474,55,75,656,0,50,75,414,1,3854,"1,681",CycloneDX
sbom-tool,https://github.com/Azure/azure-functions-dapr-extension,https://github.com/Azure/azure-functions-dapr-extension,2020-04-02T21:13:42Z,53,4,11,79,0,2,4,0,14,3,609,CycloneDX
bom,https://github.com/axenox/PackageManager,https://github.com/axenox/PackageManager,2015-11-08T12:24:02Z,20,3,1,10,59,6,2,123,17,279,"1,541",CycloneDX
cyclonedx-python,https://github.com/aws-samples/cdk-fargate-gitlab-runner,https://github.com/aws-samples/cdk-fargate-gitlab-runner,2021-10-22T12:24:42Z,39,17,22,80,,25,9,78,3,431,570,CycloneDX
bom,https://github.com/argoproj/argo-workflows,https://github.com/argoproj/argo-workflows,2017-08-21T18:50:44Z,114,8,37,33,,23,0,98,0,251,484,CycloneDX
bom,https://github.com/argoproj/argo-rollouts,https://github.com/argoproj/argo-rollouts,2018-11-17T18:28:39Z,482,63,199,235,0,61,429,465,18,1296,"2,285",CycloneDX
bom,https://github.com/argoproj/argo-cd,https://github.com/argoproj/argo-cd,2018-02-09T11:12:01Z,97,451,43,161,0,92,43,63,9,954,"3,114",CycloneDX
cyclonedx-go,https://github.com/aquasecurity/trivy-operator,https://github.com/aquasecurity/trivy-operator,2022-05-08T06:31:32Z,12000,21,119,16,,,0,21,0,4,484,CycloneDX
cyclonedx-go,https://github.com/aquasecurity/trivy,https://github.com/aquasecurity/trivy,2019-04-11T01:01:07Z,14,24,18,,0,14,1,61,1,36,138,CycloneDX
gh-dotnet-generate-sbom,https://github.com/aquasecurity/chain-bench,https://github.com/aquasecurity/chain-bench,2022-05-12T09:08:00Z,97,7,52,33,,14,25,120,0,104,232,CycloneDX
cyclonedx-cli,https://github.com/aquaproj/aqua-registry,https://github.com/aquaproj/aqua-registry,2021-09-02T03:49:29Z,87,3,5,21,1,5,17,49,2,114,249,CycloneDX
swift-package-sbom,https://github.com/appknox/irene,https://github.com/appknox/irene,2014-11-04T06:26:08Z,40,34,34,,0,37,1,19,4,1147,"1,759",CycloneDX
bom,https://github.com/apache/solr-site,https://github.com/apache/solr-site,2021-02-20T11:54:24Z,148,18,18,20,0,3,1,19,1,19,169,CycloneDX
cyclonedx-maven-plugin,https://github.com/apache/commons-parent,https://github.com/apache/commons-parent,2017-08-29T07:00:08Z,366,7,9,,,,2,3,0,1,396,CycloneDX
cyclonedx-gomod,https://github.com/apache/camel-k,https://github.com/apache/camel-k,2018-08-31T08:38:42Z,35,6,13,20,0,8,6,44,0,54,270,CycloneDX
bom,https://github.com/apache/beam,https://github.com/apache/beam,2016-02-02T08:00:06Z,70,7,15,,,10,9,155,0,26,"66,959",CycloneDX
tools-golang,https://github.com/aosp-mirror/platform_build,https://github.com/aosp-mirror/platform_build,2008-10-21T18:19:56Z,15,7,16,9,,11,0,6,0,87,224,CycloneDX
ko-build/ko,https://github.com/anderlli0053/DEV-tools,https://github.com/anderlli0053/DEV-tools,2022-06-28T08:20:49Z,142,8,18,70,2,4,0,3,16,262,308,CycloneDX
sbom-tool,https://github.com/anderlli0053/AppArchive,https://github.com/anderlli0053/AppArchive,2023-06-10T10:45:29Z,71,5,15,1,0,11,20,22,2,67,304,CycloneDX
cyclonedx-cli,https://github.com/anchore/syft,https://github.com/anchore/syft,2020-05-07T18:19:29Z,43000,93,405,58,,91,136,1016,4,5441,"5,331",CycloneDX
tools-golang,https://github.com/anchore/grype-db,https://github.com/anchore/grype-db,2020-07-13T18:15:41Z,25,4,2,,0,,5,0,0,0,2,CycloneDX
cyclonedx-go,https://github.com/anchore/grype,https://github.com/anchore/grype,2020-05-26T13:44:38Z,101000,209,18000,17,,71,128,462,20,359,"2,143",CycloneDX
tools-golang,https://github.com/anchore/go-logger,https://github.com/anchore/go-logger,2022-02-07T18:13:22Z,29,7,8,,0,,0,0,0,0,"116,540",CycloneDX
cyclonedx-python,https://github.com/algorandfoundation/algorun,https://github.com/algorandfoundation/algorun,2023-06-29T12:54:34Z,49,7,15,11,,9,6,12,6,99,223,CycloneDX
cyclonedx-python,https://github.com/algorandfoundation/algokit-cli,https://github.com/algorandfoundation/algokit-cli,2022-11-11T08:03:16Z,106,15,69,,0,5,0,1,3,40,215,CycloneDX
cyclonedx-python,https://github.com/algorand-devrel/bootcamp,https://github.com/algorand-devrel/bootcamp,2022-12-20T01:35:17Z,695,8,135,88,1,74,60,386,2,985,925,CycloneDX
cyclonedx-python,https://github.com/algorand-devrel/beaker,https://github.com/algorand-devrel/beaker,2022-07-06T19:42:04Z,229,14,36,72,3,25,35,202,15,678,713,CycloneDX
ort,https://github.com/alexethier/utilities,https://github.com/alexethier/utilities,2016-09-18T20:37:02Z,3000,209,14000,135,,366,330,2099,41,6124,"9,071",CycloneDX
cyclonedx-python,https://github.com/AlbanAndrieu/ansible-jenkins-slave,https://github.com/AlbanAndrieu/ansible-jenkins-slave,2014-09-19T19:26:41Z,13,1,2,,0,,0,0,0,0,51,CycloneDX
bom,https://github.com/aj-stein-nist/oscal-cat,https://github.com/aj-stein-nist/oscal-cat,2022-07-22T23:18:15Z,59000,58,956,1742,2,322,111,1375,33,4065,"14,980",CycloneDX
cyclonedx-editor-validator,https://github.com/AgoraIO/API-Examples,https://github.com/AgoraIO/API-Examples,2020-04-21T07:46:07Z,54,4,7,,37,5,7,4,4,28,176,CycloneDX
sbom-tool,https://github.com/adriandiglio/Demo-for-Microsoft-SBOM-Tool,https://github.com/adriandiglio/Demo-for-Microsoft-SBOM-Tool,2019-09-12T20:40:10Z,63000,44,382,28,1,78,50,298,17,787,776,CycloneDX
sbom-tool,https://github.com/actions-marketplace-validations/philips-software_post-to-medium-action,https://github.com/actions-marketplace-validations/philips-software_post-to-medium-action,2023-03-07T04:13:55Z,38,5,15,1,0,29,57,155,2,335,"1,570",CycloneDX
cyclonedx-python,https://github.com/abilian/nua,https://github.com/abilian/nua,2021-06-25T04:52:39Z,21,4,2,4,,,1,4,0,0,343,CycloneDX
sbom-tool,https://github.com/aasim/Sample2,https://github.com/aasim/Sample2,2020-12-04T21:35:57Z,16,3,0,1,,3,0,1,0,1,128,CycloneDX
bom,https://github.com/a0x8o/presto,https://github.com/a0x8o/presto,2018-03-19T19:30:26Z,13,6,5,6,2,10,1,5,1,85,473,CycloneDX
bom,https://github.com/a0x8o/kafka,https://github.com/a0x8o/kafka,2016-09-22T22:28:02Z,58,12,15,10,2,12,14,24,0,163,599,CycloneDX
bom,https://github.com/a0x8o/druid,https://github.com/a0x8o/druid,2019-07-17T00:27:22Z,66,31,52,9,0,45,89,270,17,652,"1,609",CycloneDX
bom,https://github.com/a0x8o/drill,https://github.com/a0x8o/drill,2016-09-22T22:28:32Z,18,4,4,9,1,3,1,1,4,166,401,CycloneDX
bom,https://github.com/a0x8o/beam,https://github.com/a0x8o/beam,2016-09-22T22:29:58Z,216,4,9,36,0,7,8,13,2,160,168,CycloneDX
bom,https://github.com/06kellyjac/nur-packages,https://github.com/06kellyjac/nur-packages,2020-12-08T10:21:02Z,525,36,43,125,,21,94,638,6,1124,"1,432",CycloneDX