tool_used,link,creation_date,,stars,watchers,forks,releases,packages,contributors,openIssues,closedIssues,openPRs,closedPRs,commits,type
sbom-tool,https://github.com/Ed-Fi-Exchange-OSS/Meadowlark,2021-12-07T20:39:20Z,,6,10,11,71,0,6,3,298,3,298,242,SPDX
tools-golang,https://github.com/elastic/cloudbeat,2022-02-14T10:43:26Z,,24,11,34,,0,26,121,329,6,886,664,SPDX
cyclonedx-gomod,https://github.com/elastic/harp,2020-11-25T10:11:02Z,,142,8,18,70,2,4,0,3,16,262,308,CycloneDX
voltone/rebar3_sbom,https://github.com/emqx/emqx,2012-12-17T10:07:44Z,,122000,397,21000,325,,113,202,3524,33,7331,"17,797",CycloneDX
tools-python,https://github.com/emzeat/mz-cmaketools,2012-09-25T14:15:19Z,,4,1,2,,,,0,0,0,0,300,SPDX
sbom-tool,https://github.com/Enchoseon/2based2wait,2022-02-05T04:30:46Z,,24,2,8,7,,5,9,12,1,55,321,SPDX
bom,https://github.com/ep-infosec/33_apache_beam,2022-12-11T01:16:12Z,,0,2,0,,0,,0,0,0,0,1,SPDX
bom,https://github.com/ep-infosec/36_linkedin_beam,2022-12-12T14:33:44Z,,0,2,0,,0,,0,0,0,0,1,SPDX
bom,https://github.com/espv/beam-plus-wrapper,2020-06-05T09:31:48Z,,1,2,0,,0,2,0,0,4,18,"26,882",SPDX
bom,https://github.com/evereux/pycatia,2018-11-25T20:04:31Z,,140,23,38,19,0,9,6,101,2,45,879,SPDX
bom,https://github.com/evhart/counsel,2023-03-16T21:40:46Z,,1,1,0,,0,,0,0,0,0,3,SPDX
tools-golang,https://github.com/Exynos-AOSP-Master/android_build,2023-07-24T17:55:29Z,,0,0,0,,0,555,0,0,0,0,"85,435",SPDX
cyclonedx-python,https://github.com/fla-sil/PyTorrent,2021-01-10T20:30:30Z,,33,2,21,,0,4,0,1,0,13,63,CycloneDX
tools-java,https://github.com/fossology/fossology,2014-01-13T11:22:57Z,,677,59,358,41,0,108,356,916,28,1230,"9,499",SPDX
cyclonedx-python-lib,https://github.com/FraunhoferISST/diva,2021-06-30T11:14:23Z,,20,3,1,10,59,6,2,123,17,279,"1,541",CycloneDX
ort,https://github.com/frazrepo/vimrc,2019-01-09T15:26:04Z,,5,1,1,1,0,,0,0,1,5,"1,107",SPDX
cyclonedx-python-lib,https://github.com/freebsd/freebsd-ports,2011-05-26T11:15:35Z,,873,116,671,,0,718,20,158,20,158,"634,762",CycloneDX
cyclonedx-python-lib,https://github.com/freebsd/freebsd-ports-kde,2017-05-21T10:48:44Z,,51,22,43,,0,657,1,85,1,85,"634,668",CycloneDX
cyclonedx-maven-plugin,https://github.com/freenowtech/sauron,2021-03-22T16:00:24Z,,22,5,0,22,1,7,2,8,13,133,552,CycloneDX
cyclonedx-python,https://github.com/FrodeHus/ludvig,2022-12-28T20:10:54Z,,13,1,1,4,0,2,1,6,5,84,186,CycloneDX
tools-golang,https://github.com/fullsushidev/qmstr-1,2020-12-09T15:40:11Z,,0,0,0,,0,11,0,0,0,0,"1,206",SPDX
cyclonedx-go,https://github.com/future-architect/vuls,2016-03-27T02:29:09Z,,103000,329,11000,98,0,119,62,492,20,1174,"1,377",CycloneDX
cyclonedx-maven-plugin,https://github.com/G3G4X5X6/ultimate-cube,2021-08-24T01:35:03Z,,145,5,18,23,,5,2,26,0,14,720,CycloneDX
cyclonedx-gomod,https://github.com/gatewayd-io/gatewayd,2022-07-14T18:54:38Z,,52,3,0,61,1,,60,110,1,155,"1,132",CycloneDX
cyclonedx-python-lib,https://github.com/ghostbsd/ghostbsd-ports,2019-08-22T16:53:53Z,,28,5,11,,0,700,0,38,0,38,"1,199,202",CycloneDX
bom,https://github.com/gitlabhq/gitlabhq,2011-10-02T16:25:27Z,,234000,977,58000,,0,1969,13,3609,13,3609,"111,285",SPDX
tools-golang,https://github.com/gnoliyil/fuchsia,2022-01-08T16:09:33Z,,4,1,1,,0,557,0,0,1,0,"145,892",SPDX
swift-package-sbom,https://github.com/gokrazy/tools,2017-03-04T10:41:14Z,,46,5,26,,,21,5,22,2,33,276,CycloneDX
sbom-tool,https://github.com/gon1942/git_command,2018-07-04T08:05:08Z,,1,0,3,106,0,6,9,2,0,67,464,SPDX
sbom-tool,https://github.com/gon1942/how2github,2023-09-17T13:51:33Z,,0,1,0,,0,,0,0,0,0,97,SPDX
tools-java,https://github.com/goneall/spdx-model-to-java,2023-07-09T00:34:24Z,,0,1,0,,0,,0,0,0,0,15,SPDX
cyclonedx-go,https://github.com/google/osv-scanner,2022-11-14T01:05:20Z,,53000,59,283,13,1,42,61,92,9,381,337,CycloneDX
swift-package-sbom,https://github.com/googleapis/google-cloud-go,2014-05-09T11:11:58Z,,34000,256,12000,2148,0,329,197,3821,62,4475,"7,219",CycloneDX
tools-golang,https://github.com/GoogleContainerTools/distroless,2017-04-18T22:02:38Z,,164000,194,977,,0,123,70,451,2,872,"1,574",SPDX
ko-build/ko,https://github.com/GoogleContainerTools/skaffold,2018-01-23T18:51:29Z,,142000,192,16000,170,8,401,676,3293,14,5102,"8,787",CycloneDX
bom,https://github.com/gosh-sh/gosh-build-tools,2023-03-21T09:19:09Z,,0,6,0,3,0,4,0,0,0,8,157,SPDX
sbom-tool,https://github.com/greenbone/actions,2021-05-22T15:42:03Z,,4,10,4,54,0,10,0,1,2,861,"1,211",SPDX
bom,https://github.com/gridgentoo/uber-kubernetes-test-infra,2023-03-01T10:39:59Z,,0,1,0,,0,1099,0,0,0,0,"51,783",SPDX
cyclonedx-gradle-plugin,https://github.com/groboclown/p4ic4idea,2015-02-03T18:51:06Z,,31,8,11,101,0,2,35,189,0,10,647,CycloneDX
cyclonedx-python,https://github.com/gromgit/homebrew-core-mojave,2021-11-16T10:03:08Z,,17,3,3,3859,0,,3,6,0,0,"24,999",CycloneDX
cyclonedx-python-lib,https://github.com/guacsec/guac,2022-06-10T17:28:07Z,,1000,44,126,5,1,44,102,208,15,994,962,CycloneDX
ko-build/ko,https://github.com/gythialy/golang-cross,2019-08-22T02:13:33Z,,109,3,24,122,6,7,0,20,0,209,413,CycloneDX
cyclonedx-maven-plugin,https://github.com/hboutemy/mcmm-yaml,2017-05-26T10:11:15Z,,13,4,11,,0,,1,0,0,0,"2,281",CycloneDX
bom,https://github.com/helm/chartmuseum,2017-09-19T05:48:21Z,,33000,58,378,36,1,78,92,259,9,362,633,SPDX
bom,https://github.com/hivelocity/cluster-api-provider-hivelocity,2022-10-21T14:25:15Z,,3,7,0,2,2,4,19,11,1,72,175,SPDX
cyclonedx-gomod,https://github.com/Homebrew/homebrew-core,2016-03-01T06:58:36Z,,127000,299,118000,,,5000+,27,5199,93,140539,"406,640",CycloneDX
cyclonedx-python,https://github.com/huggingface/datasets-server,2021-07-26T09:00:53Z,,525,36,43,125,,21,94,638,6,1124,"1,432",CycloneDX
cyclonedx-python,https://github.com/HumbleData/beginners-data-workshop,2020-05-08T09:52:21Z,,26,5,32,2,0,10,5,6,7,51,124,CycloneDX
cyclonedx-node-npm,https://github.com/hyperledger/fabric-gateway,2020-09-15T09:49:35Z,,115,9,82,13,1,15,17,133,2,444,465,CycloneDX
bom,https://github.com/IBM/CBOM,2022-12-16T11:25:50Z,,35,9,4,1,0,4,8,13,1,13,7,SPDX
bom,https://github.com/iinnovations/iicontrollibs,2013-11-18T18:16:45Z,,15,7,9,,0,2,0,0,0,0,386,SPDX
tools-golang,https://github.com/in-toto/in-toto-golang,2018-10-15T15:18:06Z,,100,10,44,14,,28,24,51,2,193,827,SPDX
sbom-cli,https://github.com/intelops/kubviz,2021-12-19T06:21:54Z,,24,3,13,70,5,12,16,20,15,197,575,CycloneDX
cyclonedx-go,https://github.com/interlynk-io/sbomasm,2023-05-03T22:09:00Z,,22,3,1,5,1,3,3,5,4,15,32,CycloneDX
cyclonedx-gomod,https://github.com/interlynk-io/sbomqs,2023-01-31T22:59:22Z,,87,3,5,21,1,5,17,49,2,114,249,CycloneDX
swift-package-sbom,https://github.com/istio/release-builder,2019-08-19T22:52:41Z,,45,76,76,,0,36,4,1631,4,1631,814,CycloneDX
tools-golang,https://github.com/jasona7/ChatCVE,2023-05-25T14:16:44Z,,6,1,1,,0,,0,0,0,0,57,SPDX
build-info-go,https://github.com/JetBrains/intellij-community,2011-09-30T13:33:05Z,,158000,527,5000,,0,954,241,2253,241,2253,"419,210",CycloneDX
spdx-maven-plugin,https://github.com/JetBrains/kotlin,2012-02-13T17:29:58Z,,459000,15000,57000,210,0,607,165,4995,165,4995,"104,983",SPDX
cyclonedx-go,https://github.com/jetstack/tally,2022-09-07T09:00:43Z,,15,18,0,5,2,2,7,12,7,78,150,CycloneDX
build-info-go,https://github.com/jfrog/build-info,2011-02-20T23:33:55Z,,144,53,152,,,72,154,83,6,515,"2,930",CycloneDX
cyclonedx-go,https://github.com/jfrog/build-info-go,2021-10-20T14:06:09Z,,50,8,33,47,,14,18,3,5,170,232,CycloneDX
build-info-go,https://github.com/jfrog/frogbot,2022-03-06T12:19:58Z,,238,30,47,73,,18,37,45,2,432,483,CycloneDX
build-info-go,https://github.com/jfrog/jfrog-cli,2015-08-18T20:49:18Z,,482,63,199,235,0,61,429,465,18,1296,"2,285",CycloneDX
build-info-go,https://github.com/jfrog/jfrog-cli-core,2020-09-08T10:56:52Z,,29,30,46,182,0,56,20,9,17,926,"2,198",CycloneDX
build-info-go,https://github.com/jfrog/jfrog-cli-plugins,2020-10-26T07:57:42Z,,14,24,18,,0,14,1,61,1,36,138,CycloneDX
build-info-go,https://github.com/jfrog/jfrog-client-go,2018-06-17T15:46:41Z,,229,16,121,164,0,69,61,33,9,729,"1,374",CycloneDX
cyclonedx-node-npm,https://github.com/joeferner/redis-commander,2012-06-18T14:30:04Z,,34000,67,450,,1,88,36,273,6,226,"1,038",CycloneDX
cyclonedx-python,https://github.com/john-sandall/python-productivity-powerups,2020-05-05T16:26:11Z,,15,2,0,,0,2,0,0,7,67,36,CycloneDX
sbom-tool,https://github.com/johniwasz/whetstone.chatgpt,2022-12-29T22:22:26Z,,87,9,14,9,0,3,2,0,4,109,119,SPDX
sbom-tool,https://github.com/johnterickson/cargo2junit,2019-02-16T18:00:02Z,,46,2,12,,0,9,12,13,1,59,108,SPDX
tools-python,https://github.com/jotterson/sbom-validator,2021-09-17T17:11:47Z,,4,1,0,3,,2,0,0,0,1,44,SPDX
cyclonedx-gradle-plugin,https://github.com/jreleaser/jreleaser,2020-11-28T14:33:15Z,,822,14,96,28,,64,69,927,5,227,"2,136",CycloneDX
cyclonedx-node-npm,https://github.com/juice-shop/juice-shop,2014-09-19T14:53:06Z,,87000,151,78000,202,,110,9,761,0,1318,"19,304",CycloneDX
cyclonedx-maven-plugin,https://github.com/jvm-repo-rebuild/reproducible-central,2019-01-16T01:54:48Z,,68,3,28,,,22,17,41,1,70,"3,850",CycloneDX
bom,https://github.com/karuppiah7890/tanzu-framework,2021-07-28T07:22:11Z,,1,2,0,,0,,0,0,0,0,95,SPDX
bom,https://github.com/kbob/LED-Cube,2019-03-17T12:10:36Z,,49,10,2,,0,,1,0,0,2,80,SPDX
bom,https://github.com/kdoctor-io/kdoctor,2023-06-05T03:59:18Z,,133,0,11,3,4,6,16,41,14,158,173,SPDX
sbom-tool,https://github.com/kkzzhizhou/scoop-apps,2019-12-05T06:03:55Z,,295,2,49,,0,4,28,72,1,8,"1,202",SPDX
ko-build/ko,https://github.com/knative-extensions/eventing-rabbitmq,2020-05-07T21:25:50Z,,83,10,60,46,0,36,8,192,2,1035,902,CycloneDX
cyclonedx-cli,https://github.com/ko-build/ko,2019-03-21T19:24:01Z,,63000,44,382,28,1,78,50,298,17,787,776,CycloneDX
ko-build/ko,https://github.com/ko-build/setup-ko,2021-04-27T13:40:52Z,,34,2,11,6,1,6,0,2,3,11,47,CycloneDX
ko-build/ko,https://github.com/ko-build/terraform-provider-ko,2022-06-24T17:35:35Z,,23,2,11,18,0,7,8,4,1,89,193,CycloneDX
sbom-tool,https://github.com/kolaczyn/typescript-template,2022-08-27T08:24:40Z,,0,0,0,,0,2,0,2,0,39,68,SPDX
cyclonedx-go,https://github.com/ksoclabs/kbom,2023-04-24T12:10:52Z,,191,7,11,9,0,7,2,1,4,78,147,CycloneDX
tools-java,https://github.com/kubernetes-sigs/bom,2021-11-19T13:06:36Z,,257,10,33,9,,28,8,54,0,286,891,SPDX
ko-build/ko,https://github.com/kubernetes-sigs/release-utils,2021-03-04T01:01:28Z,,15,7,16,9,,11,0,6,0,87,224,CycloneDX
bom,https://github.com/kubernetes-sigs/security-profiles-operator,2020-04-24T09:37:15Z,,571,14,85,12,,35,21,194,3,1676,"1,948",SPDX
ko-build/ko,https://github.com/kubernetes/cloud-provider-gcp,2018-03-21T07:01:09Z,,86,27,172,,0,157,16,66,14,513,"1,696",CycloneDX
bom,https://github.com/kubernetes/community,2016-05-03T03:36:05Z,,112000,698,51000,,0,1247,89,1573,38,5773,"12,700",SPDX
ko-build/ko,https://github.com/kubernetes/release,2016-03-23T22:11:59Z,,454,87,508,23,0,175,71,552,7,2654,"5,706",CycloneDX
bom,https://github.com/kubernetes/test-infra,2016-04-28T21:05:35Z,,37000,131,26000,,0,1227,139,4133,114,26305,"55,456",SPDX
bom,https://github.com/kubewarden/github-actions,2022-01-20T13:31:23Z,,4,8,7,18,,10,2,9,0,79,192,SPDX
spdx-sbomgenerator,https://github.com/kubewarden/policy-server,2020-12-15T14:26:03Z,,125,8,12,36,1,11,6,108,1,439,896,SPDX
cyclonedx-gomod,https://github.com/kyverno/policy-reporter-ui,2021-03-13T16:20:46Z,,18,5,5,2,0,5,1,9,0,287,404,CycloneDX
bom,https://github.com/l2x6/cq-maven-plugin,2020-03-16T20:41:40Z,,3,4,11,,0,9,5,7,4,264,649,SPDX
bom,https://github.com/LArkema/dctransistor-project,2021-10-18T20:45:45Z,,18,4,0,36,,,0,1,0,0,321,SPDX
cyclonedx-python,https://github.com/Lee-W/cookiecutter-python-template,2018-06-12T03:16:39Z,,22,4,8,,0,8,0,2,9,76,178,CycloneDX
bom,https://github.com/leoluz/go-experiments,2015-02-23T16:22:40Z,,1,2,0,,0,,1,0,1,2,58,SPDX
tools-golang,https://github.com/lf-edge/eve,2019-04-19T04:01:17Z,,413,32,157,104,0,82,52,65,16,3334,"9,917",SPDX
spdx-sbomgenerator,https://github.com/lfit/releng-global-jjb,2017-06-27T16:32:33Z,,13,4,10,,0,26,0,3,0,3,"1,462",SPDX
ort,https://github.com/linagora/Lincompliance,2022-01-26T15:32:32Z,,2,9,0,,0,,0,0,0,0,3,SPDX
cyclonedx-gomod,https://github.com/lkarlslund/Adalanche,2020-10-07T10:07:22Z,,12000,21,119,16,,,0,21,0,4,484,CycloneDX
spdx-sbomgenerator,https://github.com/LLNL/llnl.github.io,2016-01-10T22:04:39Z,,47,10,50,,0,30,26,114,1,503,"3,333",SPDX
tools-python,https://github.com/LLNL/Surfactant,2023-06-27T18:03:31Z,,0,2,3,,0,12,10,8,3,26,357,SPDX
cyclonedx-php-composer,https://github.com/lockys/Awesome.json,2015-10-05T16:11:59Z,,96,9,31,,0,7,0,3,0,1051,"2,403",CycloneDX
ort,https://github.com/LoremLabs/kudos-for-code-action,2023-03-14T14:20:52Z,,2,1,0,9,0,3,0,1,0,3,50,SPDX
cyclonedx-python,https://github.com/luismayta/dotfiles,2014-11-17T11:24:08Z,,24,2,2,,0,4,3,225,1,258,"1,350",CycloneDX
ko-build/ko,https://github.com/lzwme/scoop-proxy-cn,2023-02-21T09:02:29Z,,65,1,1,,0,2,0,28,0,0,283,CycloneDX
bom,https://github.com/MadhavJivrajani/owners-counts,2023-03-20T16:23:57Z,,0,2,0,,0,,0,0,0,0,5,SPDX
cyclonedx-python,https://github.com/madpah/vexy,2022-07-04T14:37:59Z,,12,3,2,5,,2,4,5,1,6,71,CycloneDX
spdx-sbomgenerator,https://github.com/MaibornWolff/OSSLR,2021-08-24T09:45:38Z,,1,7,1,,0,5,12,0,2,4,201,SPDX
build-info-go,https://github.com/mattn/vim-lsp-settings,2019-12-14T11:58:55Z,,12000,19,210,1,0,154,70,130,9,490,"1,237",CycloneDX
ort,https://github.com/maxhbr/benchmark,2017-05-20T15:42:08Z,,0,2,1,,0,2,0,0,0,1,29,SPDX
ort,https://github.com/maxhbr/myconfig,2012-12-04T18:26:32Z,,26,3,12,,0,52,15,16,0,11,"6,617",SPDX
tools-golang,https://github.com/mchmarny/disco,2022-12-23T13:18:03Z,,13,2,3,57,,2,3,8,10,158,382,SPDX
cyclonedx-node-npm,https://github.com/medplum/medplum,2021-04-21T16:36:22Z,,889,14,152,99,0,49,167,539,12,2168,"2,351",CycloneDX
cyclonedx-gradle-plugin,https://github.com/mercedes-benz/sechub,2019-07-22T14:20:50Z,,173,11,39,114,,19,364,1207,11,960,"3,477",CycloneDX
sbom-tool,https://github.com/MHarmony/mharmony.io,2022-10-24T19:49:38Z,,0,1,0,2,,,0,0,0,0,17,SPDX
bom,https://github.com/Micronaet/micronaet-sql,2015-02-18T08:13:23Z,,0,3,0,,0,,0,0,0,0,176,SPDX
sbom-tool,https://github.com/microsoft/promptflow,2023-06-30T06:03:06Z,,24000,50,184,,0,39,22,27,50,416,322,SPDX
sbom-tool,https://github.com/microsoft/winget-pkgs,2019-07-16T22:21:48Z,,73000,97,35000,,0,2361,774,2282,517,116934,"105,871",SPDX
bom,https://github.com/midokura/gha-devops,2022-04-12T08:38:19Z,,0,19,1,1,,6,0,18,0,18,22,SPDX
bom,https://github.com/mil-oss/spdx-xsd,2018-05-30T03:35:15Z,,7,10,3,,0,2,0,3,0,2,122,SPDX
cyclonedx-maven-plugin,https://github.com/Mixeway/MixewayScanner,2020-08-18T11:13:35Z,,19,3,2,,0,,0,1,0,6,73,CycloneDX
cyclonedx-cli,https://github.com/mlieberman85/supply-chain-examples,2021-08-28T19:07:59Z,,21,6,10,,0,7,1,0,2,26,35,CycloneDX
sbom-tool,https://github.com/mluker/artifact-signing,2022-11-17T19:47:55Z,,0,1,0,,0,,0,0,0,0,15,SPDX
sbom-tool,https://github.com/mluker/secure-supply-chain,2023-02-24T16:29:47Z,,0,1,0,,0,,0,0,0,0,8,SPDX
tools-golang,https://github.com/mmogylenko/rules_deb_packages,2023-06-09T20:44:51Z,,0,1,0,2,0,,1,0,0,3,2,SPDX
cyclonedx-node-npm,https://github.com/MO-Movia/licit,2020-09-19T22:57:43Z,,35,11,11,32,0,18,18,13,6,169,"1,314",CycloneDX
tools-golang,https://github.com/moby/buildkit,2017-05-31T17:04:10Z,,71000,115,1000,98,0,198,637,1020,87,2465,"5,784",SPDX
spdx-maven-plugin,https://github.com/moleske/geode-protobuf,2021-05-05T22:59:53Z,,0,2,1,,0,2,0,0,17,140,61,SPDX
cyclonedx-gomod,https://github.com/mostafa/xk6-kafka,2020-05-09T13:13:04Z,,97,7,52,33,,14,25,120,0,104,232,CycloneDX
ort,https://github.com/mpromonet/v4l2rtspserver,2013-11-09T23:08:44Z,,17000,86,418,32,0,11,47,241,2,22,725,SPDX
build-info-go,https://github.com/mrtazz/dotfiles,2012-08-25T22:52:09Z,,28,5,4,,0,,1,2,0,9,889,CycloneDX
bom,https://github.com/MrWenBo/mescep,2017-05-19T14:29:48Z,,0,2,1,,0,,0,0,0,0,2,SPDX
bom,https://github.com/mybeam/Apache-Beam-,2019-05-31T12:05:55Z,,2,5,5,,0,439,0,0,11,13,"21,747",SPDX
cyclonedx-python,https://github.com/NC3-LU/Fit4Cybersecurity,2019-07-09T07:40:36Z,,17,11,7,6,,9,11,20,5,67,"1,274",CycloneDX
cyclonedx-python,https://github.com/NC3-LU/MOSP,2018-03-28T22:05:03Z,,74,11,5,18,1,4,2,29,1,14,"1,224",CycloneDX
build-info-go,https://github.com/neoclide/coc-json,2018-09-07T08:04:25Z,,222,8,20,,0,13,1,51,0,21,123,CycloneDX
sbom-tool,https://github.com/NervJS/taro,2018-04-08T09:32:26Z,,336000,691,47000,157,0,524,992,9161,41,3736,"10,350",SPDX
cyclonedx-python-lib,https://github.com/NetBSD/pkgsrc,2017-04-16T20:04:15Z,,274,28,151,,0,41,6,30,2,84,"386,027",CycloneDX
tools-python,https://github.com/nexB/python-inspector,2022-05-12T19:42:57Z,,15,9,10,8,0,22,36,49,3,57,506,SPDX
tools-python,https://github.com/nexB/scancode-toolkit,2015-07-01T13:43:06Z,,18000,69,504,68,,314,861,1412,18,1167,"10,739",SPDX
bom,https://github.com/nexB/scancode.io,2020-09-10T15:06:52Z,,81,14,79,32,,15,194,407,7,321,766,SPDX
sbom-cli,https://github.com/nicholasdille/container-slides,2019-11-17T12:38:41Z,,53,4,11,79,0,2,4,0,14,3,609,CycloneDX
cyclonedx-cli,https://github.com/nicholasdille/docker-setup,2021-10-19T07:27:01Z,,13,4,4,350,405,4,3,996,15,6401,"7,388",CycloneDX
bom,https://github.com/nix-community/nur-combined,2018-08-04T16:29:54Z,,87,9,12,,0,2,2,6,0,5,"35,581",SPDX
cyclonedx-python,https://github.com/nix-community/poetry2nix,2019-06-17T15:26:38Z,,567,8,290,75,0,202,122,243,14,935,"2,358",CycloneDX
cyclonedx-python-lib,https://github.com/NixOS/nixpkgs,2012-06-04T02:49:46Z,,132000,270,106000,,,5000+,6973,25693,4589,219059,"529,360",CycloneDX
spdx-maven-plugin,https://github.com/NodeSecure/licenses-conformance,2021-08-30T20:47:45Z,,0,1,2,2,,8,0,3,6,34,58,SPDX
cyclonedx-node-npm,https://github.com/nodeshift/faas-js-runtime,2019-10-16T03:01:12Z,,14,11,16,32,0,14,3,34,9,276,268,CycloneDX
sbom-cli-plugin,https://github.com/noironetworks/aci-containers,2016-09-01T20:40:29Z,,40,34,34,,0,37,1,19,4,1147,"1,759",CycloneDX
cyclonedx-gomod,https://github.com/nscuro/dtapac,2022-04-15T15:56:50Z,,18,4,4,9,1,3,1,1,4,166,401,CycloneDX
cyclonedx-gomod,https://github.com/nscuro/traefik-plugin-geoblock,2021-10-04T18:44:51Z,,24,1,3,20,,4,3,15,3,48,160,CycloneDX
bom,https://github.com/numaproj/numaflow,2022-05-20T22:05:07Z,,474,14,53,29,0,28,92,301,5,680,588,SPDX
tools-golang,https://github.com/nydusaccelerator/buildkit,2023-01-05T03:50:05Z,,2,6,1,,0,235,1,0,7,7,"4,879",SPDX
bom,https://github.com/oasis-open/openc2-jadn-software,2017-08-28T18:45:52Z,,8,9,12,,0,6,1,0,0,35,139,SPDX
sbom-tool,https://github.com/octodemo/sbom-dependency-submission,2022-10-03T22:33:03Z,,25,2,16,,,2,0,0,0,1,22,SPDX
cyclonedx-go,https://github.com/ocurity/dracon,2023-02-13T17:16:44Z,,54,4,7,,37,5,7,4,4,28,176,CycloneDX
ko-build/ko,https://github.com/okibcn/ScoopMaster,2023-02-05T02:02:41Z,,43,3,1,1,0,2,15,17,1,1,"10,426",CycloneDX
sbom-tool,https://github.com/OKiMaureen/test,2019-03-21T13:39:25Z,,0,1,5,427,0,3,33,10,59,131,922,SPDX
cyclonedx-python-lib,https://github.com/on-nix/pkgs,2021-10-18T06:23:33Z,,14,2,2,,,,0,0,0,0,"1,032",CycloneDX
cyclonedx-gomod,https://github.com/open-feature/flagd,2022-05-26T12:05:42Z,,229,14,36,72,3,25,35,202,15,678,713,CycloneDX
cyclonedx-gomod,https://github.com/open-feature/go-sdk,2022-04-28T21:00:52Z,,61,10,19,16,,18,3,60,6,157,188,CycloneDX
cyclonedx-go,https://github.com/open-policy-agent/conftest,2019-03-28T17:12:29Z,,27000,27,283,68,0,92,28,279,4,560,922,CycloneDX
