format,attribute,language
CycloneDX,programmingLanguage,TypeScript
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Nix
CycloneDX,programmingLanguage,Ruby
CycloneDX,programmingLanguage,Erlang
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,TypeScript
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,JavaScript
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,TypeScript
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,JavaScript
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,PHP
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,JavaScript
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Java
CycloneDX,programmingLanguage,Dockerfile
CycloneDX,programmingLanguage,Kotlin
CycloneDX,programmingLanguage,Java
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,PowerShell
CycloneDX,programmingLanguage,Vim
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,HTML
CycloneDX,programmingLanguage,Shell
CycloneDX,programmingLanguage,Shell
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,TypeScript
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Java
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Shell
CycloneDX,programmingLanguage,Nix
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Shell
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,TypeScript
CycloneDX,programmingLanguage,Java
CycloneDX,programmingLanguage,Makefile
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,JavaScript
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,XSLT
CycloneDX,programmingLanguage,Groovy
CycloneDX,programmingLanguage,C++
CycloneDX,programmingLanguage,Jupyter
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,TypeScript
CycloneDX,programmingLanguage,Scala
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,C#
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Java
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Java
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Shell
CycloneDX,programmingLanguage,Swift
CycloneDX,programmingLanguage,Shell
CycloneDX,programmingLanguage,Java
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Java
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,C#
CycloneDX,programmingLanguage,HTML
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Java
CycloneDX,programmingLanguage,TypeScript
CycloneDX,programmingLanguage,Dockerfile
CycloneDX,programmingLanguage,TypeScript
CycloneDX,programmingLanguage,PowerShell
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,TypeScript
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,JavaScript
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Rust
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,TypeScript
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,TypeScript
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Java
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,PowerShell
CycloneDX,programmingLanguage,Shell
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Groovy
CycloneDX,programmingLanguage,Batchfile
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,YAML
CycloneDX,programmingLanguage,Vue
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,C#
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Ruby
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Shell
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,C#
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,JavaScript
CycloneDX,programmingLanguage,Java
CycloneDX,programmingLanguage,Java
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,PowerShell
CycloneDX,programmingLanguage,HTML
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,JavaScript
CycloneDX,programmingLanguage,TypeScript
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,C#
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Java
CycloneDX,programmingLanguage,JavaScript
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Shell
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Java
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,JavaScript
CycloneDX,programmingLanguage,Vim
CycloneDX,programmingLanguage,Java
CycloneDX,programmingLanguage,Shell
CycloneDX,programmingLanguage,Kotlin
CycloneDX,programmingLanguage,Rust
CycloneDX,programmingLanguage,Shell
CycloneDX,programmingLanguage,Jupyter
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Dockerfile
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,TypeScript
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Java
CycloneDX,programmingLanguage,Java
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Shell
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Vue
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Java
CycloneDX,programmingLanguage,Java
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Jinja
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Vue
CycloneDX,programmingLanguage,Java
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,HTML
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Ruby
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Shell
CycloneDX,programmingLanguage,JavaScript
CycloneDX,programmingLanguage,JavaScript
CycloneDX,programmingLanguage,Jupyter
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Rust
CycloneDX,programmingLanguage,JavaScript
CycloneDX,programmingLanguage,TypeScript
CycloneDX,programmingLanguage,Shell
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,TypeScript
CycloneDX,programmingLanguage,Go
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,C#
CycloneDX,programmingLanguage,HTML
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Python
CycloneDX,programmingLanguage,Go