format,createdDate
SPDX,2020-01-06
SPDX,2022-09-08
SPDX,2019-01-10
SPDX,2014-01-13
SPDX,2015-07-01
SPDX,2022-05-12
SPDX,2010-09-23
SPDX,2023-03-06
SPDX,2021-09-17
SPDX,2023-03-07
SPDX,2012-09-25
SPDX,2023-08-30
SPDX,2023-06-27
SPDX,2023-08-27
SPDX,2022-07-18
SPDX,2017-05-22
SPDX,2023-07-09
SPDX,2021-09-29
SPDX,2022-08-10
SPDX,2014-01-13
SPDX,2020-07-17
SPDX,2022-02-21
SPDX,2022-03-02
SPDX,2021-09-20
SPDX,2022-10-05
SPDX,2021-11-19
SPDX,2018-04-16
SPDX,2015-03-23
SPDX,2015-07-01
SPDX,2020-11-20
SPDX,2018-04-24
SPDX,2011-03-30
SPDX,2022-01-05
SPDX,2020-01-30
SPDX,2021-07-15
SPDX,2022-06-15
SPDX,2023-04-05
SPDX,2019-12-06
SPDX,2020-01-17
SPDX,2020-05-12
SPDX,2022-10-06
SPDX,2020-01-24
SPDX,2021-05-05
SPDX,2022-03-27
SPDX,2014-06-11
SPDX,2021-08-30
SPDX,2012-02-13
SPDX,2021-09-21
SPDX,2019-03-22
SPDX,2022-02-14
SPDX,2022-09-02
SPDX,2022-01-08
SPDX,2022-05-31
SPDX,2022-12-03
SPDX,2020-10-13
SPDX,2020-07-13
SPDX,2023-05-17
SPDX,2023-05-25
SPDX,2022-02-07
SPDX,2023-07-19
SPDX,2023-07-19
SPDX,2017-04-18
SPDX,2017-05-31
SPDX,2021-05-19
SPDX,2008-10-21
SPDX,2019-08-24
SPDX,2023-07-14
SPDX,2022-12-23
SPDX,2022-07-20
SPDX,2023-03-17
SPDX,2018-01-19
SPDX,2020-02-19
SPDX,2023-06-09
SPDX,2019-11-18
SPDX,2018-12-09
SPDX,2022-07-28
SPDX,2019-11-01
SPDX,2023-02-09
SPDX,2023-04-20
SPDX,2023-07-29
SPDX,2023-07-24
SPDX,2020-12-09
SPDX,2021-08-13
SPDX,2020-08-19
SPDX,2023-01-05
SPDX,2019-04-19
SPDX,2018-10-15
SPDX,2023-05-10
SPDX,2019-01-26
SPDX,2021-05-05
SPDX,2023-08-01
SPDX,2018-12-12
SPDX,2016-09-09
SPDX,2018-08-04
SPDX,2020-12-08
SPDX,2018-04-10
SPDX,2016-04-28
SPDX,2016-05-03
SPDX,2022-11-23
SPDX,2023-01-27
SPDX,2022-04-12
SPDX,2022-07-24
SPDX,2022-01-20
SPDX,2023-03-01
SPDX,2023-03-20
SPDX,2021-11-05
SPDX,2023-04-07
SPDX,2021-12-04
SPDX,2015-12-16
SPDX,2022-03-23
SPDX,2021-08-25
SPDX,2018-10-29
SPDX,2022-03-07
SPDX,2022-05-25
SPDX,2020-04-24
SPDX,2022-10-21
SPDX,2022-10-24
SPDX,2023-06-05
SPDX,2023-05-22
SPDX,2022-11-11
SPDX,2023-05-11
SPDX,2022-10-12
SPDX,2022-03-07
SPDX,2020-06-19
SPDX,2018-11-25
SPDX,2019-03-10
SPDX,2019-03-17
SPDX,2015-02-18
SPDX,2022-05-13
SPDX,2015-07-28
SPDX,2022-04-16
SPDX,2023-01-19
SPDX,2013-11-18
SPDX,2021-08-11
SPDX,2021-05-20
SPDX,2017-05-19
SPDX,2020-03-16
SPDX,2015-11-08
SPDX,2023-03-21
SPDX,2016-02-02
SPDX,2016-09-22
SPDX,2020-06-05
SPDX,2020-10-09
SPDX,2016-09-22
SPDX,2022-01-04
SPDX,2022-12-12
SPDX,2022-12-11
SPDX,2019-05-31
SPDX,2016-09-22
SPDX,2019-12-12
SPDX,2018-03-19
SPDX,2019-07-17
SPDX,2019-08-07
SPDX,2019-09-11
SPDX,2019-08-26
SPDX,2020-03-10
SPDX,2020-09-06
SPDX,2020-09-28
SPDX,2022-02-18
SPDX,2021-04-19
SPDX,2021-09-21
SPDX,2021-11-16
SPDX,2021-11-16
SPDX,2022-01-11
SPDX,2021-12-29
SPDX,2022-03-04
SPDX,2011-10-02
SPDX,2013-08-30
SPDX,2017-08-28
SPDX,2020-01-28
SPDX,2022-01-10
SPDX,2021-03-26
SPDX,2022-12-16
SPDX,2018-05-30
SPDX,2014-10-21
SPDX,2023-03-16
SPDX,2020-09-10
SPDX,2021-02-20
SPDX,2022-08-29
SPDX,2022-11-06
SPDX,2021-10-18
SPDX,2017-08-21
SPDX,2019-09-04
SPDX,2022-05-20
SPDX,2018-02-09
SPDX,2022-03-08
SPDX,2021-03-31
SPDX,2023-06-19
SPDX,2022-05-26
SPDX,2022-07-22
SPDX,2022-10-28
SPDX,2022-10-14
SPDX,2018-11-17
SPDX,2018-05-17
SPDX,2023-03-18
SPDX,2021-09-25
SPDX,2022-10-25
SPDX,2023-08-09
SPDX,2022-03-15
SPDX,2015-02-23
SPDX,2020-06-01
SPDX,2017-09-19
SPDX,""
SPDX,2023-07-03
SPDX,2023-02-09
SPDX,2018-05-30
SPDX,2021-07-28
SPDX,2021-08-10
SPDX,2021-07-07
SPDX,2021-07-12
SPDX,2021-07-15
SPDX,2023-05-12
SPDX,2012-12-04
SPDX,2021-09-07
SPDX,2019-08-25
SPDX,2020-07-16
SPDX,2022-02-02
SPDX,2018-03-13
SPDX,2018-01-13
SPDX,2022-02-05
SPDX,2019-01-09
SPDX,2022-03-06
SPDX,2021-07-26
SPDX,2022-04-05
SPDX,2021-11-02
SPDX,2021-08-18
SPDX,2022-11-25
SPDX,2022-09-06
SPDX,2022-09-01
SPDX,2018-03-23
SPDX,2022-04-18
SPDX,2021-09-14
SPDX,2023-05-10
SPDX,2021-02-17
SPDX,2020-10-05
SPDX,2023-01-08
SPDX,2023-03-14
SPDX,2023-09-07
SPDX,2022-06-07
SPDX,2022-06-13
SPDX,2021-09-21
SPDX,2018-09-27
SPDX,2013-11-09
SPDX,2022-10-04
SPDX,2021-07-28
SPDX,2022-06-06
SPDX,2023-04-17
SPDX,2023-07-07
SPDX,2023-03-10
SPDX,2022-01-26
SPDX,2021-05-02
SPDX,2016-09-18
SPDX,2017-05-20
SPDX,2023-07-06
SPDX,2023-03-14
SPDX,2013-08-06
SPDX,2019-12-05
SPDX,2023-06-10
SPDX,2022-09-28
SPDX,2019-07-16
SPDX,2021-05-22
SPDX,2023-09-17
SPDX,2018-04-08
SPDX,2011-12-21
SPDX,2021-12-07
SPDX,2021-03-02
SPDX,2022-10-10
SPDX,2022-12-03
SPDX,2022-12-08
SPDX,2022-08-13
SPDX,2019-03-21
SPDX,2023-06-30
SPDX,2022-08-27
SPDX,2020-04-02
SPDX,2022-10-03
SPDX,2018-07-04
SPDX,2020-08-25
SPDX,2019-09-12
SPDX,2020-05-05
SPDX,2021-03-02
SPDX,2020-12-04
SPDX,2022-10-18
SPDX,2023-07-04
SPDX,2022-10-24
SPDX,2022-02-05
SPDX,2019-02-28
SPDX,2023-02-24
SPDX,2022-11-17
SPDX,2022-12-29
SPDX,2019-02-16
SPDX,2022-08-06
SPDX,2021-10-27
SPDX,2023-03-07
SPDX,2017-09-19
SPDX,2019-07-01
SPDX,2020-07-01
SPDX,2020-12-15
SPDX,2016-01-10
SPDX,2017-06-27
SPDX,2022-08-30
SPDX,2023-08-08
SPDX,2022-09-08
SPDX,2021-03-17
SPDX,2020-03-08
SPDX,2023-05-04
SPDX,2021-08-24
SPDX,2022-05-24